Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
50,2.0,0.0,0.0,549.0,10.0,22.0,2394.0,0.1,8.1448,0.0,0.0,395.1160898208618,,,,,,,,,,,,,,,,,,,,,2.318029720897606,2.840464914864605,8.110015266658305,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,580.0,11.0,31.0,2425.0,0.1,14.4058,0.0,0.0,398.35398268699646,,,,,,,,,,,,,,,,,,,,,4.5669829584105415,4.9715280427683455,14.292794825144737,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,613.0,12.0,33.0,2458.0,0.1,16.04480000000001,0.0,0.0,401.7183313369751,,,,,,,,,,,,,,,,,,,,,5.346498590841488,5.435201604271055,15.900149946244778,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,640.0,13.0,27.0,2485.0,0.1,8.506199999999998,0.0,0.0,404.5903151035309,,,,,,,,,,,,,,,,,,,,,2.180787724797316,2.7924072753854374,8.46423874468109,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,736.0,14.0,96.0,2581.0,0.1,60.88579999999993,0.0,0.0,413.5780258178711,,,,,,,,,,,,,,,,,,,,,24.391610146920016,19.555815826862244,58.661469703833646,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,771.0,15.0,35.0,2616.0,0.1,15.565199999999999,0.0,0.0,417.1132643222809,,,,,,,,,,,,,,,,,,,,,4.915975065751664,5.205913065153893,15.42397339551633,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,797.0,16.0,26.0,2642.0,0.1,7.7248,0.0,0.0,419.99437832832336,,,,,,,,,,,,,,,,,,,,,2.1028947198206276,2.5420433806467075,7.68548802785234,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,823.0,17.0,26.0,2668.0,0.1,9.705599999999997,0.0,0.0,422.7948567867279,,,,,,,,,,,,,,,,,,,,,2.6951788148279956,3.292257343753408,9.654825346682491,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,858.0,18.0,35.0,2703.0,0.1,10.848199999999999,0.0,0.0,426.3267517089844,,,,,,,,,,,,,,,,,,,,,2.6138414600620457,3.4687462422784763,10.778261293222977,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,888.0,19.0,30.0,2733.0,0.1,13.884200000000002,0.0,0.0,429.62916445732117,,,,,,,,,,,,,,,,,,,,,4.56713968294113,4.818147565400637,13.77472147774578,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,970.0,20.0,82.0,2815.0,0.1,59.565999999999946,0.0,0.0,437.2944085597992,,,,,,,,,,,,,,,,,,,,,25.08092974568572,18.883333345105946,57.624555246792106,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,132.0,1.0,132.0,2947.0,0.1,83.12459999999997,0.0,0.0,570.3215935230255,,,,,,,,,,,,,,,,,,,,,35.05966763974119,23.92983922475451,78.65395312384875,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,175.0,2.0,43.0,2990.0,0.1,18.046400000000006,0.0,0.0,574.7557466030121,,,,,,,,,,,,,,,,,,,,,5.207303324761309,5.944411379881046,17.85818446778637,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,285.0,3.0,110.0,3100.0,0.1,51.33739999999994,0.0,0.0,584.705002784729,,,,,,,,,,,,,,,,,,,,,15.669566396812876,16.024343734295847,49.71312423168974,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,408.0,4.0,123.0,3223.0,0.1,79.42679999999989,0.0,0.0,595.8665750026703,,,,,,,,,,,,,,,,,,,,,34.67749957892319,23.404644092383784,75.31201627232082,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,492.0,5.0,84.0,3307.0,0.1,48.48619999999994,0.0,0.0,603.6161246299744,,,,,,,,,,,,,,,,,,,,,19.77928171863478,14.913849126152604,46.918530478060326,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,550.0,6.0,58.0,3365.0,0.1,31.60880000000002,0.0,0.0,609.1696267127991,,,,,,,,,,,,,,,,,,,,,10.879680808131036,10.648525767084989,31.039827127556386,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,582.0,7.0,32.0,3397.0,0.1,12.1852,0.0,0.0,612.7784693241119,,,,,,,,,,,,,,,,,,,,,3.5529414618060944,4.058067104816207,12.095685147832723,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,624.0,8.0,42.0,3439.0,0.1,17.026000000000003,0.0,0.0,617.0208215713501,,,,,,,,,,,,,,,,,,,,,4.931523223348645,5.623387531958902,16.852564300656372,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,690.0,9.0,66.0,3505.0,0.1,34.54419999999998,0.0,0.0,623.2237949371338,,,,,,,,,,,,,,,,,,,,,12.609251747437133,10.433893611330838,33.779514634423364,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,720.0,10.0,30.0,3535.0,0.1,13.2052,0.0,0.0,626.3398718833923,,,,,,,,,,,,,,,,,,,,,4.044070531595199,4.548000599360075,13.110084943854911,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,769.0,11.0,49.0,3584.0,0.1,26.865200000000005,0.0,0.0,631.2218565940857,,,,,,,,,,,,,,,,,,,,,9.223230547887958,8.988795117356808,26.466167572130182,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,832.0,12.0,63.0,3647.0,0.1,35.467799999999976,0.0,0.0,637.4955894947052,,,,,,,,,,,,,,,,,,,,,12.696767267485438,11.568932621267333,34.73734361202888,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
